player_id,player_name,team,transfer_value
883,Matt Doherty,Wolves,€2.3M
884,Jeremy Doku,Manchester City,€66.5M
885,Nicolás Domínguez,Nott'ham Forest,€18.8M
886,Patrick Dorgu,Manchester Utd,€30.5M
887,Abdoulaye Doucouré,Everton,€5.8M
888,Cheick Doucouré,Crystal Palace,€24.7M
889,Flynn Downes,Southampton,€8.5M
890,Tommy Doyle,Wolves,€8.5M
891,Radu Drăgușin,Tottenham,€28.4M
892,Martin Dúbravka,Newcastle Utd,€1.2M
893,Lewis Dunk,Brighton,€3.6M
894,Jáder Durán,Aston Villa,€36.6M
895,Ederson,Manchester City,€0.1M
896,Odsonne Édouard,Crystal Palace,€12.4M
897,Anthony Elanga,Nott'ham Forest,€45.6M
898,Harvey Elliott,Liverpool,€39.2M
899,Julio Enciso,Ipswich Town,€25.1M
900,Julio Enciso,Brighton,€25.1M
901,Wataru Endo,Liverpool,€11.1M
902,Christian Eriksen,Manchester Utd,€1.9M
903,Romain Esse,Crystal Palace,€16.4M
904,Pervis Estupiñán,Brighton,€22.7M
905,Evanilson,Bournemouth,€29.5M
906,Jonny Evans,Manchester Utd,N/a
907,Eberechi Eze,Crystal Palace,€62.2M
908,Łukasz Fabiański,West Ham,€3.8M
909,Wout Faes,Leicester City,€13.3M
910,Abdul Fatawu Issahaku,Leicester City,€21.9M
911,João Félix,Chelsea,€15.1M
912,Evan Ferguson,West Ham,€19.8M
913,Evan Ferguson,Brighton,€19.8M
914,Bruno Fernandes,Manchester Utd,€35.7M
915,Mateus Fernandes,Southampton,€22.5M
916,Enzo Fernández,Chelsea,€74.2M
917,Mark Flekken,Brentford,€12.1M
918,Phil Foden,Manchester City,€73.8M
919,Wesley Fofana,Chelsea,€30.4M
920,Carlos Forbs,Wolves,€13M
921,Fraser Forster,Tottenham,€0.7M
922,Ryan Fraser,Southampton,€2.3M
923,Tyler Fredricson,Manchester Utd,€5.6M
924,Niclas Füllkrug,West Ham,€11M
925,Cody Gakpo,Liverpool,€73.8M
926,Idrissa Gana Gueye,Everton,€2.6M
927,Andrés García,Aston Villa,€10.4M
928,Alejandro Garnacho,Manchester Utd,€59.2M
929,James Garner,Everton,€20.7M
930,Tyrique George,Chelsea,€24.4M
931,Morgan Gibbs-White,Nott'ham Forest,€67.5M
932,Billy Gilmour,Brighton,€18.2M
933,Ben Godfrey,Ipswich Town,€10.5M
934,João Gomes,Wolves,€51.1M
935,Rodrigo Gomes,Wolves,€1.8M
936,Toti Gomes,Wolves,€16M
937,Diego Gómez,Brighton,€1M
938,Joe Gomez,Liverpool,€16.7M
939,Nicolás González,Manchester City,€0.6M
940,Anthony Gordon,Newcastle Utd,€52.4M
941,Ryan Gravenberch,Liverpool,€85.5M
942,Archie Gray,Tottenham,€72.5M
943,Jack Grealish,Manchester City,€29.7M
944,Jacob Greaves,Ipswich Town,€19.7M
945,Brajan Gruda,Brighton,€29.2M
946,Albert Grønbaek,Southampton,€16.6M
947,Gonçalo Guedes,Wolves,€7.3M
948,Marc Guéhi,Crystal Palace,€45.2M
949,Luis Guilherme,West Ham,€23.7M
950,Bruno Guimarães,Newcastle Utd,€82.3M
951,İlkay Gündoğan,Manchester City,€2.7M
952,Malo Gusto,Chelsea,€32.1M
953,Joško Gvardiol,Manchester City,€77.4M
954,Erling Haaland,Manchester City,€199.6M
955,Lewis Hall,Newcastle Utd,€36.8M
956,Ali Al Hamadi,Ipswich Town,€2.1M
957,Jack Harrison,Everton,€17.9M
958,Taylor Harwood-Bellis,Southampton,€24.6M
959,Kai Havertz,Arsenal,€62.2M
960,Ayden Heaven,Manchester Utd,€6.7M
961,Jan Paul van Hecke,Brighton,€41.9M
962,Hwang Hee-chan,Wolves,€17.6M
963,Dean Henderson,Crystal Palace,€28.7M
964,Rico Henry,Brentford,€14.4M
965,Mads Hermansen,Leicester City,€19.2M
966,Son Heung-min,Tottenham,€28.6M
967,James Hill,Bournemouth,€7.6M
968,Jack Hinshelwood,Brighton,€9.2M
969,George Hirst,Ipswich Town,€6.8M
970,Callum Hudson-Odoi,Nott'ham Forest,€31.7M
971,Will Hughes,Crystal Palace,€7.3M
972,Dean Huijsen,Bournemouth,€56.3M
973,Omari Hutchinson,Ipswich Town,€27.6M
974,Rasmus Højlund,Manchester Utd,N/a
975,Igor,Brighton,N/a
976,Danny Ings,West Ham,N/a
977,Tim Iroegbunam,Everton,N/a
978,Andy Irving,West Ham,N/a
979,Alexander Isak,Newcastle Utd,€132.1M
980,Alex Iwobi,Fulham,€31.2M
981,Nicolas Jackson,Chelsea,€53.5M
982,Reece James,Chelsea,€0.2M
983,Vitaly Janelt,Brentford,€18.6M
984,Daniel Jebbison,Bournemouth,€7.6M
985,Mathias Jensen,Brentford,€14.7M
986,Gabriel Jesus,Arsenal,€45.6M
987,Raúl Jiménez,Fulham,€4.6M
988,João Pedro,Brighton,€61.3M
989,Joelinton,Newcastle Utd,€45.7M
990,Ben Johnson,Ipswich Town,€9.2M
991,Brennan Johnson,Tottenham,€49.4M
992,Sam Johnstone,Wolves,€7.9M
993,Curtis Jones,Liverpool,€50.1M
994,Jorginho,Arsenal,€2.6M
995,Diogo Jota,Liverpool,€49.8M
996,James Justin,Leicester City,€16.4M
997,Filip Jørgensen,Chelsea,€22.6M
998,Ferdi Kadioglu,Brighton,€37.4M
999,Daichi Kamada,Crystal Palace,€11.3M
1000,Boubacar Kamara,Aston Villa,€50.3M
1001,Michael Kayode,Brentford,€30.4M
1002,Michael Keane,Everton,€2.4M
1003,Caoimhín Kelleher,Liverpool,€24.9M
1004,Lloyd Kelly,Newcastle Utd,€19.4M
1005,Milos Kerkez,Bournemouth,€68.7M
1006,Bilal El Khannouss,Leicester City,€40.6M
1007,Abdukodir Khusanov,Manchester City,€48.4M
1008,Max Kilman,West Ham,€39.3M
1009,Joshua King,Fulham,€16.1M
1010,Antonín Kinský,Tottenham,€20M
1011,Jakub Kiwior,Arsenal,€25.4M
1012,Justin Kluivert,Bournemouth,€44.3M
1013,Ibrahima Konaté,Liverpool,€57.2M
1014,Ezri Konsa,Aston Villa,€44.3M
1015,Mateo Kovačić,Manchester City,€15.6M
1016,Emil Krafth,Newcastle Utd,€1.5M
1017,Mohammed Kudus,West Ham,€63.9M
1018,Dejan Kulusevski,Tottenham,€60.3M
1019,Maxence Lacroix,Crystal Palace,€25.8M
1020,Adam Lallana,Southampton,N/a
1021,Tariq Lamptey,Brighton,€13.6M
1022,Roméo Lavia,Chelsea,€54.6M
1023,Mario Lemina,Wolves,€5.2M
1024,Bernd Leno,Fulham,€13.5M
1025,Jefferson Lerma,Crystal Palace,€12.8M
1026,Rico Lewis,Manchester City,€55.9M
1027,Keane Lewis-Potter,Brentford,€29.1M
1028,Myles Lewis-Skelly,Arsenal,€45.5M
1029,Matthijs de Ligt,Manchester Utd,€47.2M
1030,Victor Lindelöf,Manchester Utd,€7.2M
1031,Jesper Lindstrøm,Everton,€11.4M
1032,Valentino Livramento,Newcastle Utd,€48.4M
1033,Sean Longstaff,Newcastle Utd,€18.3M
1034,Saša Lukić,Fulham,€12.1M
1035,Joe Lumley,Southampton,€0.7M
1036,Massimo Luongo,Ipswich Town,N/a
1037,Ian Maatsen,Aston Villa,€23.8M
1038,Alexis Mac Allister,Liverpool,€117M
1039,James Maddison,Tottenham,€57.3M
1040,Noni Madueke,Chelsea,€52.3M
1041,Gabriel Magalhães,Arsenal,€66.5M
1042,Edmond-Paris Maghoma,Brentford,€0.9M
1043,Harry Maguire,Manchester Utd,€13.8M
1044,Kobbie Mainoo,Manchester Utd,€62.7M
1045,Tyrell Malacia,Manchester Utd,€6.3M
1046,Donyell Malen,Aston Villa,€18.9M
1047,Orel Mangala,Everton,€24.4M
1048,Ryan Manning,Southampton,€3.8M
1049,Solly March,Brighton,€2.4M
1050,Omar Marmoush,Manchester City,€79.1M
1051,Gabriel Martinelli,Arsenal,€44.1M
1052,Emiliano Martínez,Aston Villa,€23M
1053,Lisandro Martínez,Manchester Utd,€49.2M
1054,Pape Matar Sarr,Tottenham,€45.2M
1055,Jean-Philippe Mateta,Crystal Palace,€31.7M
1056,Stephy Mavididi,Leicester City,€13.2M
1057,Konstantinos Mavropanos,West Ham,€18.1M
1058,Noussair Mazraoui,Manchester Utd,€45.3M
1059,Bryan Mbeumo,Brentford,€57.6M
1060,James Mcatee,Manchester City,€25.6M
1061,Kasey McAteer,Leicester City,€10.9M
1062,Alex McCarthy,Southampton,€0.6M
1063,John McGinn,Aston Villa,€21.6M
1064,Dwight McNeil,Everton,€27M
1065,Ben Mee,Brentford,€0.9M
1066,Mikel Merino,Arsenal,€40.5M
1067,Nikola Milenković,Nott'ham Forest,€40.6M
1068,Lewis Miley,Newcastle Utd,€28.5M
1069,James Milner,Brighton,€1M
1070,Tyrone Mings,Aston Villa,€5.7M
1071,Yankuba Minteh,Brighton,€42.6M
1072,Tyrick Mitchell,Crystal Palace,€28M
1073,Kaoru Mitoma,Brighton,€49.2M
1074,Jeremy Monga,Leicester City,€9.4M
1075,Mikey Moore,Tottenham,€16M
1076,Morato,Nott'ham Forest,€0.1M
1077,Álex Moreno,Nott'ham Forest,€2.1M
1078,Sam Morsy,Ipswich Town,€1.3M
1079,Yerson Mosquera,Wolves,€13.8M
1080,Mason Mount,Manchester Utd,€35.7M
1081,Mykhailo Mudryk,Chelsea,€37.8M
1082,Marshall Munetsi,Wolves,€18.3M
1083,Rodrigo Muniz,Fulham,€6M
1084,Daniel Muñoz,Crystal Palace,€28.9M
1085,Arijanet Muric,Ipswich Town,€4.9M
1086,Murillo,Nott'ham Forest,€65.2M
1087,Jacob Murphy,Newcastle Utd,€17.9M
1088,Vitaliy Mykolenko,Everton,€30.4M
1089,Iliman Ndiaye,Everton,€43.2M
1090,Wilfred Ndidi,Leicester City,€20.4M
1091,Kosta Nedeljković,Aston Villa,€13.9M
1092,Reiss Nelson,Fulham,€16.4M
1093,Neto,Bournemouth,€0.8M
1094,Pedro Neto,Chelsea,€62.7M
1095,Eddie Nketiah,Crystal Palace,€24.8M
1096,Christopher Nkunku,Chelsea,€51.3M
1097,Matheus Nunes,Manchester City,€42.3M
1098,Darwin Núñez,Liverpool,€34.3M
1099,Ethan Nwaneri,Arsenal,€45.6M
1100,Christian Nørgaard,Brentford,€10.7M
1101,Jake O'Brien,Everton,€23.3M
1102,Matt O'Riley,Brighton,€25.6M
1103,Dara O'Shea,Ipswich Town,€21.8M
1104,Chidozie Obi-Martin,Manchester Utd,€2.1M
1105,Wilson Odobert,Tottenham,€25.6M
1106,Chiedozie Ogbene,Ipswich Town,€9.8M
1107,Caleb Okoli,Leicester City,€16.6M
1108,Robin Olsen,Aston Villa,€0.3M
1109,Amadou Onana,Aston Villa,€48.7M
1110,André Onana,Manchester Utd,€22.2M
1111,Paul Onuachu,Southampton,€12.7M
1112,Stefan Ortega,Manchester City,€5.8M
1113,William Osula,Newcastle Utd,€19.8M
1114,Dango Ouattara,Bournemouth,€28.2M
1115,Nico O’Reilly,Manchester City,€32.1M
1116,Alex Palmer,Ipswich Town,€1.2M
1117,Cole Palmer,Chelsea,€111M
1118,Emerson Palmieri,West Ham,€10.7M
1119,Lucas Paquetá,West Ham,€73.5M
1120,Thomas Partey,Arsenal,€14.7M
1121,Nathan Patterson,Everton,€16.6M
