Team,Metric,Count,Median,Mean,Std_Dev
Arsenal,Age,22,25.5,25.272727272727273,3.8195215130621523
Arsenal,Matches_Played,22,25.5,25.318181818181817,8.202127271317593
Arsenal,Starts,22,18.5,19.0,10.770329614269007
Arsenal,Minutes,22,1657.5,1698.909090909091,941.3754834633207
Arsenal,Goals,22,2.5,3.0454545454545454,2.902827402104184
Arsenal,Assists,22,2.0,2.5,2.939873661036668
Arsenal,Yellow_Cards,22,3.5,3.1818181818181817,1.9182423412211709
Arsenal,Red_Cards,22,0.0,0.2727272727272727,0.5504818825631804
Arsenal,xG,22,1.8499999999999999,2.8181818181818183,2.856177326033683
Arsenal,xAG,22,1.05,2.1181818181818177,2.360919184118633
Arsenal,Progressive_Carries,22,25.0,38.72727272727273,35.58515182352087
Arsenal,Progressive_Passes,22,60.0,82.95454545454545,65.22085356892948
Arsenal,Progressive_Passes_Received,22,52.5,81.86363636363636,83.645109414743
Arsenal,Goals_Per90,22,0.125,0.1745454545454546,0.15894674977510317
Arsenal,Assists_Per90,22,0.11,0.13136363636363638,0.13826459983343375
Arsenal,xG_Per90,22,0.11,0.15818181818181817,0.14361444295441955
Arsenal,xAG_Per90,22,0.095,0.12181818181818181,0.12331285661300936
Arsenal,GA90,1,0.89,0.89,0.0
Arsenal,Save_Pct,1,74.2,74.2,0.0
Arsenal,CS_Pct,1,34.2,34.2,0.0
Arsenal,PK_Save_Pct,1,0.0,0.0,0.0
Arsenal,SoT_Pct,21,33.3,30.042857142857148,15.09925731380757
Arsenal,SoT_Per90,22,0.31999999999999995,0.4295454545454546,0.3973660573700068
Arsenal,Goals_Per_Shot,21,0.15,0.1514285714285714,0.13112153577066257
Arsenal,Avg_Shot_Distance,21,15.1,14.857142857142858,4.909436976738924
Arsenal,Passes_Completed,22,566.0,775.5909090909091,576.0055108111801
Arsenal,Pass_Completion_Pct,22,83.6,82.64090909090909,6.269021271747905
Arsenal,Progressive_Passing_Distance,22,2397.0,3956.590909090909,4202.389282517528
Arsenal,Short_Pass_Pct,22,91.6,91.02272727272727,4.577578047310692
Arsenal,Medium_Pass_Pct,22,86.75,85.33181818181818,7.822214177075096
Arsenal,Long_Pass_Pct,22,53.599999999999994,55.527272727272724,9.977125352677009
Arsenal,Key_Passes,22,11.5,19.454545454545453,19.451349011186302
Arsenal,Passes_Into_Final_Third,22,44.5,63.5,55.20675424516202
Arsenal,Passes_Into_Penalty_Area,22,10.5,19.863636363636363,19.73224447095342
Arsenal,Crosses_Into_Penalty_Area,22,2.0,3.409090909090909,4.090163472214433
Arsenal,SCA,22,29.0,44.0,37.10730899637403
Arsenal,SCA90,22,2.23,2.478636363636363,1.4030690695232413
Arsenal,GCA,22,3.0,5.409090909090909,6.099641604686927
Arsenal,GCA90,22,0.25,0.28590909090909095,0.28491701533552827
Arsenal,Tackles,22,22.0,27.136363636363637,21.88127151904211
Arsenal,Tackles_Won,22,14.0,15.818181818181818,13.386689777665843
Arsenal,Challenges,22,22.0,23.363636363636363,16.00757396492124
Arsenal,Challenges_Lost,22,11.0,11.545454545454545,8.204106246713245
Arsenal,Blocks,22,12.5,14.909090909090908,11.372100743691789
Arsenal,Blocked_Shots,22,1.5,4.818181818181818,7.014518030731919
Arsenal,Blocked_Passes,22,8.0,10.090909090909092,8.152762259966401
Arsenal,Interceptions,22,6.5,10.227272727272727,8.922586738864135
Arsenal,Touches,22,875.5,1093.0,692.6976252305186
Arsenal,Touches_Def_Pen,22,29.0,83.77272727272727,185.78762371466277
Arsenal,Touches_Def_3rd,22,137.5,275.40909090909093,356.28769262131397
Arsenal,Touches_Mid_3rd,22,317.0,470.90909090909093,404.455649354008
Arsenal,Touches_Att_3rd,22,251.5,354.77272727272725,255.80180791985217
Arsenal,Touches_Att_Pen,22,39.0,58.18181818181818,54.69886075564433
Arsenal,Take_Ons_Attempted,22,25.5,33.0,31.193711209915676
Arsenal,Take_Ons_Success_Pct,22,45.45,48.713636363636375,21.177218115219173
Arsenal,Take_Ons_Tackled_Pct,22,40.55,38.809090909090905,17.511327193750336
Arsenal,Carries,22,509.0,646.9090909090909,424.92396060280277
Arsenal,Progressive_Carries_Distance,22,1496.0,1828.9545454545455,1203.7688228176867
Arsenal,Carries_Into_Final_Third,22,19.5,24.545454545454547,20.346351662497774
Arsenal,Carries_Into_Penalty_Area,22,5.5,13.0,16.905902040693476
Arsenal,Miscontrols,22,16.0,21.954545454545453,17.20873884515343
Arsenal,Dispossessed,22,13.5,17.363636363636363,15.161183062725412
Arsenal,Passes_Received,22,615.5,767.7727272727273,506.2705781184586
Arsenal,Fouls_Committed,22,15.0,18.181818181818183,12.08555361001746
Arsenal,Fouls_Drawn,22,17.0,18.363636363636363,13.506772391393156
Arsenal,Offsides,22,2.0,3.6363636363636362,3.7485928095684193
Arsenal,Crosses,22,13.0,34.81818181818182,45.028706572412396
Arsenal,Ball_Recoveries,22,54.0,65.27272727272727,43.70810300617345
Arsenal,Aerials_Won,22,12.5,21.40909090909091,20.129720010611866
Arsenal,Aerials_Lost,22,16.0,21.136363636363637,18.734474091378157
Arsenal,Aerials_Won_Pct,22,51.349999999999994,47.83636363636364,18.56285449761343
Aston Villa,Age,28,26.0,25.821428571428573,4.02817458362848
Aston Villa,Matches_Played,28,22.0,21.0,11.238162496435807
Aston Villa,Starts,28,11.0,14.928571428571429,12.563700125622262
Aston Villa,Minutes,28,1129.5,1339.392857142857,1020.8061207905183
Aston Villa,Goals,28,1.0,2.0,3.4210676262979227
