Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Joshua Acheampong,eng ENG,Chelsea,DF,18,4,2,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,8.9,104,83.9,705,90.6,92.6,55.0,0,6,0,0,2,1.06,0,0.0,2,1,2,0,1,0,1,1,137,7,48,81,8,3,2,50.0,0.0,106,409,2,0,2,0,111,0,1,0,0,7,1,6,14.3,€1.4M,0
Tyler Adams,us USA,Bournemouth,MF,25,28,21,1965,0,3,7,0,1.6,1.0,14,76,10,0.0,0.14,0.07,0.05,N/a,N/a,N/a,N/a,22.2,0.09,0.00,16.9,902,84.4,3525,89.4,88.7,58.5,18,67,4,1,41,1.88,4,0.18,83,50,72,33,33,10,23,32,1337,62,349,779,224,18,18,22.2,55.6,663,1447,22,1,28,12,757,45,21,0,3,114,31,18,63.3,€24.5M,0
Tosin Adarabioyo,eng ENG,Chelsea,DF,26,22,15,1409,1,1,4,0,0.9,0.2,5,42,1,0.06,0.06,0.06,0.01,N/a,N/a,N/a,N/a,15.4,0.13,0.08,12.5,1079,91.1,7144,95.5,94.8,60.6,1,62,1,0,15,0.96,1,0.06,17,13,12,4,9,7,2,11,1330,175,630,674,27,14,6,66.7,16.7,777,1809,2,0,4,0,1000,8,9,1,0,41,42,28,60.0,€24.8M,0
Simon Adingra,ci CIV,Brighton,FWMF,22,29,12,1097,2,2,0,0,2.5,2.5,50,18,136,0.16,0.16,0.2,0.2,N/a,N/a,N/a,N/a,24.2,0.66,0.06,17.0,290,75.9,820,86.2,74.3,55.2,16,5,17,6,47,3.86,7,0.57,23,14,26,16,12,0,12,8,548,10,66,174,315,76,50,42.0,54.0,366,1300,21,27,39,12,388,13,4,4,41,47,7,4,63.6,€34M,0
Emmanuel Agbadou,ci CIV,Wolves,DF,27,16,16,1410,1,0,3,0,0.8,0.2,6,31,2,0.06,0.0,0.05,0.02,N/a,N/a,N/a,N/a,28.6,0.13,0.14,27.6,855,85.4,6203,92.3,93.0,59.1,4,40,1,0,17,1.09,3,0.19,30,19,20,7,19,13,6,12,1172,190,649,504,28,7,13,76.9,15.4,758,1752,4,0,6,4,796,7,4,1,2,83,26,20,56.5,€18M,0
Ola Aina,ng NGA,Nott'ham Forest,DF,27,35,35,2995,2,1,5,0,0.6,1.4,67,107,67,0.06,0.03,0.02,0.04,N/a,N/a,N/a,N/a,18.2,0.06,0.18,26.1,994,73.5,6297,88.6,74.5,34.3,16,85,23,11,62,1.86,4,0.12,55,42,64,28,34,12,22,33,1708,156,613,717,409,22,72,45.8,37.5,749,2787,46,10,44,22,823,23,35,2,59,190,13,19,40.6,€19.3M,0
Rayan Aït-Nouri,dz ALG,Wolves,DF,23,37,37,3109,4,7,7,1,2.7,5.5,89,108,176,0.12,0.2,0.08,0.16,N/a,N/a,N/a,N/a,27.8,0.29,0.11,14.9,1449,84.2,5926,93.5,87.2,40.7,46,77,30,10,91,2.63,12,0.35,89,57,70,27,42,6,36,26,2148,96,577,916,685,96,137,46.0,40.9,1129,3205,62,28,52,47,1321,30,46,6,94,145,22,30,42.3,€44M,0
Kristoffer Ajer,no NOR,Brentford,DF,26,24,17,1438,0,0,5,0,1.0,1.2,27,56,44,0.0,0.0,0.06,0.08,N/a,N/a,N/a,N/a,33.3,0.19,0.00,9.5,504,78.3,2831,87.0,80.2,50.0,8,44,7,4,18,1.13,2,0.13,26,18,27,13,17,4,13,12,795,53,265,368,168,38,16,43.8,50.0,387,1180,11,2,15,12,491,13,6,2,14,42,27,23,54.0,€21.5M,0
Manuel Akanji,ch SUI,Manchester City,DF,29,26,23,2014,0,0,3,0,1.6,0.4,46,158,7,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,13.3,0.09,0.00,14.7,1632,93.6,7578,95.6,95.2,74.3,9,177,11,2,37,1.65,3,0.13,19,12,17,6,11,8,3,9,1881,119,559,920,405,19,2,100.0,0.0,1254,4234,64,0,5,5,1483,17,9,0,11,103,30,33,47.6,€43.7M,0
Nathan Aké,nl NED,Manchester City,DF,29,10,8,678,0,0,0,0,0.2,0.0,12,50,2,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,10.0,509,93.9,2950,98.0,97.1,58.8,1,42,1,0,8,1.06,0,0.0,9,7,6,2,7,2,5,3,596,51,205,331,61,5,1,100.0,0.0,403,1501,12,1,4,3,449,2,0,0,1,24,13,10,56.5,€36.4M,0
