Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Carlos Alcaraz,ar ARG,Everton,FWMF,21,15,7,764,2,3,4,0,1.7,1.6,19,42,21,0.24,0.35,0.2,0.19,N/a,N/a,N/a,N/a,42.3,1.3,0.08,20.3,224,80.6,1007,85.7,88.8,64.9,13,20,18,3,33,3.89,6,0.71,11,5,11,8,9,2,7,5,378,15,63,168,156,19,18,50.0,38.9,211,707,21,2,14,13,247,13,12,1,11,37,14,8,63.6,€19.6M,0
Trent Alexander-Arnold,eng ENG,Liverpool,DF,25,33,28,2365,3,6,5,0,1.9,7.3,51,232,94,0.11,0.23,0.07,0.28,N/a,N/a,N/a,N/a,17.8,0.3,0.07,23.6,1448,73.5,11363,89.8,76.4,48.6,52,207,65,20,98,3.73,10,0.38,72,50,105,56,26,9,17,31,2253,88,593,1014,660,44,37,45.9,45.9,1184,2860,36,9,19,15,1436,11,9,1,153,132,3,13,18.8,€68.3M,0
Miguel Almirón,py PAR,Newcastle Utd,FW,30,9,1,157,0,0,0,0,0.5,0.3,3,6,18,0.0,0.0,0.3,0.15,N/a,N/a,N/a,N/a,33.3,1.15,0.00,14.2,54,81.8,219,92.9,81.3,33.3,3,3,1,0,8,4.59,0,0.0,3,2,3,1,2,0,2,0,81,1,10,35,36,9,2,50.0,50.0,54,93,3,2,0,2,59,1,3,2,0,4,0,2,0.0,€22.9M,0
Edson Álvarez,mx MEX,West Ham,MF,26,28,20,1772,0,1,9,1,0.4,0.8,24,85,18,0.0,0.05,0.02,0.04,N/a,N/a,N/a,N/a,8.3,0.05,0.00,26.3,861,85.8,4200,89.3,89.8,71.7,12,92,12,3,28,1.42,2,0.1,50,27,35,18,23,8,15,18,1239,67,361,693,194,12,33,42.4,42.4,687,1714,22,2,27,15,830,42,18,4,6,88,30,23,56.6,€36.7M,0
Harry Amass,eng ENG,Manchester Utd,DF,17,5,4,346,0,0,0,0,0.1,0.0,9,7,23,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,21.7,149,82.3,387,92.4,78.6,27.3,1,5,0,0,8,2.08,0,0.0,6,2,8,6,11,1,10,2,250,13,82,88,84,5,8,37.5,50.0,132,376,6,2,18,5,124,2,4,1,9,26,7,6,53.8,€7.7M,0
Joachim Andersen,dk DEN,Fulham,DF,28,29,29,2583,0,0,6,1,1.0,0.5,16,112,2,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,21.1,0.14,0.00,15.1,1654,82.7,14436,91.8,93.2,55.2,4,196,6,3,35,1.23,2,0.07,27,18,24,9,37,28,9,34,2336,340,1233,1013,102,22,6,66.7,0.0,1350,3435,14,1,6,3,1621,18,19,0,12,122,70,39,64.2,€29.7M,0
Elliot Anderson,eng ENG,Nott'ham Forest,MF,21,37,33,2728,2,6,10,0,2.1,3.3,52,143,95,0.07,0.2,0.07,0.11,N/a,N/a,N/a,N/a,17.5,0.23,0.05,18.8,1085,78.3,5922,89.4,81.0,46.7,37,121,19,2,87,2.87,10,0.33,92,56,111,63,48,9,39,31,1832,102,424,891,547,72,75,48.0,40.0,932,2366,32,21,60,49,1089,49,58,4,86,207,56,30,65.1,€61.7M,0
André,br BRA,Wolves,MF,23,33,31,2472,0,0,7,0,0.4,0.8,10,109,11,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.04,0.00,25.5,1247,92.9,5471,95.4,95.0,81.6,18,111,5,0,49,1.78,3,0.11,91,55,63,26,42,8,34,37,1623,89,439,1046,155,3,32,50.0,37.5,912,1688,17,0,30,21,1093,36,34,0,0,194,2,6,25.0,€38.5M,0
Michail Antonio,jm JAM,West Ham,FW,34,14,11,836,1,1,1,0,2.2,1.6,29,18,59,0.11,0.11,0.24,0.17,N/a,N/a,N/a,N/a,21.1,0.43,0.05,12.6,114,60.6,424,72.2,59.7,71.0,9,11,6,2,22,2.37,4,0.43,2,2,3,1,6,0,6,0,296,3,26,124,151,36,27,33.3,48.1,173,695,13,9,35,19,221,12,7,4,25,22,17,22,43.6,€1M,0
Antony,br BRA,Manchester Utd,DFMF,24,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.0,0.0,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.00,15.8,56,81.2,111,88.2,64.3,100.0,3,1,5,2,8,5.11,0,0.0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,6,1,5,1,69,2,5,0,5,11,0,1,0.0,€22.7M,0
Julian Araujo,mx MEX,Bournemouth,DF,22,12,7,497,0,0,2,0,0.0,0.1,4,14,22,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,178,79.1,890,89.4,86.5,34.5,1,17,3,2,5,0.91,0,0.0,10,5,12,7,3,0,3,6,275,20,90,136,55,2,1,0.0,100.0,126,258,3,0,5,2,149,7,2,1,9,29,3,9,25.0,€14.3M,0
Cameron Archer,eng ENG,Southampton,FW,23,35,13,1441,2,0,0,0,5.7,0.5,22,14,66,0.12,0.0,0.36,0.03,N/a,N/a,N/a,N/a,35.7,0.62,0.07,12.8,205,81.7,367,86.8,91.5,55.6,5,7,7,0,20,1.25,0,0.0,13,8,9,7,5,1,4,2,398,16,69,179,154,52,37,40.5,54.1,226,564,10,14,40,26,274,16,13,8,3,35,9,30,23.1,€18.6M,0
Joe Aribo,ng NGA,Southampton,MFDF,28,32,21,2013,3,0,1,0,2.7,1.6,36,75,65,0.13,0.0,0.12,0.07,N/a,N/a,N/a,N/a,41.2,0.31,0.18,14.0,929,88.8,2630,91.3,91.3,68.9,16,51,4,1,37,1.66,1,0.04,47,33,35,18,28,11,17,20,1271,52,313,670,299,44,49,42.9,44.9,745,2021,29,12,27,19,925,20,28,1,10,112,25,24,51.0,€8M,0
Adam Armstrong,eng ENG,Southampton,FWMF,27,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,286,12,5,9,14,23,5,9,35.7,€15.1M,0
Marco Asensio,es ESP,Aston Villa,MF,28,13,9,743,3,1,2,0,4.4,1.0,22,45,38,0.36,0.12,0.54,0.12,N/a,N/a,N/a,N/a,40.9,1.09,0.14,19.6,242,77.3,1081,90.8,81.6,33.3,16,20,11,2,35,4.24,3,0.36,7,5,9,6,7,1,6,2,386,6,38,158,200,30,19,63.2,26.3,242,682,21,5,9,8,265,11,8,2,38,28,0,1,0.0,€19.3M,0
Taiwo Awoniyi,ng NGA,Nott'ham Forest,FW,26,26,3,416,1,0,0,0,2.1,0.1,6,7,20,0.22,0.0,0.46,0.02,N/a,N/a,N/a,N/a,40.0,0.87,0.10,12.6,61,63.5,157,71.2,56.0,20.0,2,5,2,0,9,1.95,1,0.22,6,3,5,1,1,0,1,0,167,5,16,78,74,21,9,44.4,55.6,90,183,5,2,19,19,113,8,10,1,2,18,13,38,25.5,€21M,0
Yasin Ayari,se SWE,Brighton,MF,20,34,22,1965,2,1,3,0,2.4,2.3,30,75,61,0.09,0.05,0.11,0.11,N/a,N/a,N/a,N/a,28.6,0.37,0.07,18.7,793,81.5,3328,91.4,84.3,40.8,30,55,18,4,61,2.79,6,0.27,59,32,56,30,24,6,18,20,1233,58,275,624,354,45,45,40.0,40.0,655,1466,25,6,38,22,801,37,26,3,69,118,16,20,44.4,€38.2M,0
Jordan Ayew,gh GHA,Leicester City,FWMF,32,30,19,1638,5,0,5,0,3.2,1.1,49,46,86,0.27,0.0,0.17,0.06,N/a,N/a,N/a,N/a,25.8,0.44,0.13,18.8,401,74.3,1216,86.9,75.4,40.7,16,25,14,7,41,2.25,2,0.11,27,15,23,16,21,2,19,12,798,21,103,407,312,55,64,40.6,50.0,479,1540,37,11,63,40,540,30,59,7,60,93,37,80,31.6,€1.5M,0
Benoît Badiashile,fr FRA,Chelsea,DF,23,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,273,89.8,1473,93.3,93.8,65.6,0,37,1,0,0,0.0,0,0.0,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,5,0,1,0,247,6,2,0,0,18,8,2,80.0,€25.6M,0
Leon Bailey,jm JAM,Aston Villa,FWMF,26,24,14,1139,1,2,3,0,1.7,1.5,58,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,277,71.0,1055,81.7,81.3,47.4,16,16,20,2,38,3.01,4,0.32,7,5,11,8,6,0,6,3,545,18,77,155,323,70,57,38.6,42.1,348,1371,23,34,35,25,390,12,18,3,34,59,6,9,40.0,€15.4M,0
Carlos Baleba,cm CMR,Brighton,MF,20,34,31,2661,3,1,8,1,3.1,1.3,43,118,29,0.1,0.03,0.1,0.05,N/a,N/a,N/a,N/a,25.0,0.37,0.07,25.5,1149,87.4,4741,92.0,92.2,63.5,21,109,23,3,66,2.23,4,0.14,79,46,80,32,47,11,36,46,1697,94,410,994,339,12,57,57.9,35.1,971,2810,45,3,39,42,1035,40,48,0,9,197,39,26,60.0,€66.9M,0
Ross Barkley,eng ENG,Aston Villa,MF,30,20,3,581,3,1,3,0,1.8,0.6,15,36,10,0.46,0.15,0.27,0.1,N/a,N/a,N/a,N/a,31.3,0.77,0.19,14.2,337,85.3,1260,87.6,91.6,65.0,9,32,6,0,18,2.78,3,0.46,14,3,14,5,9,3,6,10,464,17,75,275,121,19,16,75.0,25.0,277,733,15,2,7,8,328,8,3,0,1,43,6,4,60.0,€7.6M,0
Calvin Bassey,ng NGA,Fulham,DF,24,35,34,3074,1,0,7,0,1.0,0.1,39,116,15,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.12,0.07,15.3,1934,89.7,11961,95.2,93.8,61.4,3,152,3,0,23,0.67,3,0.09,54,34,31,9,40,17,23,20,2463,324,1205,1151,132,19,33,45.5,33.3,1571,4940,20,5,34,8,1716,26,32,2,8,168,43,33,56.6,€29.9M,0
Altay Bayındır,tr TUR,Manchester Utd,GK,26,4,4,360,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.50,41.2,25.0,N/a,N/a,0.0,N/a,N/a,92,60.5,1386,100.0,94.5,32.1,0,1,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,168,145,166,2,0,0,0,N/a,N/a,110,196,0,0,0,0,103,0,1,0,0,3,1,1,50.0,€13.2M,0
Jan Bednarek,pl POL,Southampton,DF,28,30,30,2531,2,0,7,0,0.7,0.5,5,60,2,0.07,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.07,0.40,16.0,1564,92.7,8925,95.2,94.8,76.6,5,72,1,0,16,0.57,0,0.0,36,19,31,15,47,36,11,56,2049,386,1091,924,41,15,3,100.0,0.0,1046,1742,5,1,9,3,1307,31,13,0,1,106,71,37,65.7,€13M,0
Armel Bella Kotchap,de GER,Southampton,DF,22,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.0,0.0,0.09,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,9.1,202,90.2,956,98.5,96.7,55.2,0,6,0,0,2,0.54,0,0.0,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,1,0,192,3,2,0,0,19,6,5,54.5,€15.4M,0
Jean-Ricner Bellegarde,ht HAI,Wolves,MFFW,26,35,20,1677,2,7,3,0,1.5,3.8,52,43,89,0.11,0.38,0.08,0.2,N/a,N/a,N/a,N/a,22.7,0.27,0.09,21.2,475,79.3,1436,89.1,80.9,58.1,27,30,18,8,57,3.06,11,0.59,39,24,20,6,19,3,16,10,843,24,148,394,318,48,61,23.0,50.8,528,1573,38,11,42,29,592,31,47,1,44,62,10,19,34.5,€21.3M,0
Rodrigo Bentancur,uy URU,Tottenham,MF,27,26,21,1645,2,0,9,0,1.3,0.4,28,100,34,0.11,0.0,0.07,0.02,N/a,N/a,N/a,N/a,22.7,0.27,0.09,17.4,946,87.9,3700,90.7,92.6,74.6,10,109,13,2,45,2.46,3,0.16,40,22,40,21,25,8,17,40,1302,76,323,774,216,24,19,47.4,42.1,764,1502,24,5,19,20,848,34,10,1,4,121,36,30,54.5,€31.4M,0
Daniel Bentley,eng ENG,Wolves,GK,31,2,2,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.00,66.7,50.0,N/a,N/a,0.0,N/a,N/a,49,75.4,851,100.0,100.0,38.5,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,69,50,68,1,0,0,0,N/a,N/a,39,134,0,0,0,0,26,0,0,0,0,4,2,0,100.0,€1.5M,0
Sander Berge,no NOR,Fulham,MF,26,31,26,2224,0,0,6,0,0.4,0.6,29,124,9,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,33.3,0.04,0.00,8.7,1091,91.5,4626,92.1,94.4,83.5,18,116,5,0,48,1.94,2,0.08,50,30,39,12,27,8,19,21,1384,81,374,799,217,14,20,55.0,30.0,804,2065,25,2,15,16,892,31,10,0,3,126,28,22,56.0,€30.4M,0
Lucas Bergvall,se SWE,Tottenham,MF,18,27,11,1212,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.15,0.00,19.9,629,87.4,2202,91.9,89.8,74.6,11,53,7,3,22,1.63,4,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,21,4,20,19,586,20,17,0,21,73,9,8,52.9,€31.3M,0
Victor Bernth Kristiansen,dk DEN,Leicester City,DF,21,30,29,2482,0,1,1,0,0.3,1.4,40,70,78,0.0,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.7,1023,77.4,5859,89.3,79.8,41.4,18,76,23,18,42,1.52,3,0.11,87,51,91,42,38,15,23,42,1614,115,577,722,329,17,18,44.4,50.0,816,1866,26,5,15,13,887,19,18,3,97,99,22,42,34.4,€18.7M,0
Philip Billing,dk DEN,Bournemouth,MF,28,10,1,184,0,0,1,0,0.6,1.1,3,15,13,0.0,0.0,0.28,0.54,N/a,N/a,N/a,N/a,20.0,0.49,0.00,17.9,70,68.6,400,84.3,70.4,26.7,9,9,7,2,16,7.83,0,0.0,14,5,4,1,3,0,3,5,148,5,20,72,57,12,3,33.3,0.0,58,163,1,1,7,4,75,3,2,0,10,14,6,4,60.0,€12.7M,0
Yves Bissouma,ml MLI,Tottenham,MF,27,28,16,1408,2,0,7,0,0.6,0.3,15,75,3,0.13,0.0,0.04,0.02,N/a,N/a,N/a,N/a,36.4,0.26,0.18,23.4,755,88.6,2858,92.2,92.7,60.0,6,61,10,1,16,1.02,0,0.0,49,31,34,15,11,6,5,18,1039,71,304,584,159,5,22,31.8,68.2,610,1611,17,0,25,15,704,28,18,0,2,85,7,7,50.0,€30M,0
Lamare Bogarde,nl NED,Aston Villa,DFMF,20,8,5,476,0,0,2,0,0.0,0.1,12,14,9,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,100.0,0.19,0.00,20.2,240,88.2,1154,92.8,92.2,33.3,2,24,1,0,10,1.89,1,0.19,14,6,16,6,5,3,2,1,325,16,95,191,40,4,4,50.0,25.0,173,599,6,1,6,8,212,8,11,0,0,13,6,6,50.0,€12.3M,0
Willy Boly,ci CIV,Nott'ham Forest,DF,33,6,1,150,0,0,1,0,0.1,0.0,0,2,0,0.0,0.0,0.04,0.0,N/a,N/a,N/a,N/a,100.0,0.6,0.00,10.2,55,78.6,477,90.9,93.8,26.7,0,3,0,0,0,0.0,0,0.0,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,45,0,0,1,0,46,1,0,0,0,5,6,2,75.0,€0.9M,0
Sven Botman,nl NED,Newcastle Utd,DF,24,8,6,412,0,0,1,0,0.5,0.5,0,7,0,0.0,0.0,0.12,0.12,N/a,N/a,N/a,N/a,40.0,0.44,0.00,7.1,220,89.4,1437,86.9,96.3,71.4,2,13,0,0,4,0.87,0,0.0,12,9,9,2,5,4,1,5,304,40,132,160,16,11,3,33.3,33.3,145,337,1,0,5,1,197,5,4,0,0,14,17,9,65.4,€52.7M,0
Conor Bradley,nir NIR,Liverpool,DF,21,19,7,754,0,2,4,0,0.7,1.4,35,33,39,0.0,0.24,0.08,0.17,N/a,N/a,N/a,N/a,30.0,0.36,0.00,14.2,456,83.8,1711,91.3,88.4,33.3,7,26,3,1,19,2.27,4,0.48,14,10,22,11,9,2,7,4,663,32,197,299,178,43,25,40.0,48.0,369,1356,22,9,13,5,411,12,14,1,7,51,11,7,61.1,€30.7M,0
Jarrad Branthwaite,eng ENG,Everton,DF,22,30,28,2511,0,1,4,0,1.2,0.7,10,66,2,0.0,0.04,0.04,0.02,N/a,N/a,N/a,N/a,30.0,0.11,0.00,8.2,984,82.1,7699,90.0,90.5,55.5,3,86,3,0,13,0.47,2,0.07,36,20,28,8,31,23,8,27,1520,211,783,676,69,28,6,50.0,33.3,747,2515,14,2,8,4,894,12,18,1,5,93,61,42,59.2,€28.1M,0
James Bree,eng ENG,Southampton,DF,26,17,13,1075,0,1,0,0,0.1,0.9,13,34,43,0.0,0.08,0.01,0.08,N/a,N/a,N/a,N/a,25.0,0.08,0.00,22.7,500,83.5,2204,90.3,87.0,51.9,10,29,7,6,16,1.34,1,0.08,19,14,25,15,10,3,7,9,694,49,221,308,170,11,8,50.0,25.0,363,808,12,1,9,5,443,4,5,0,29,65,12,7,63.2,€2M,0
Ben Brereton,cl CHI,Southampton,FW,25,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.0,0.0,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.2,0.00,17.3,128,77.1,383,87.4,67.9,63.6,3,9,2,1,9,1.8,0,0.0,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,13,4,9,4,171,4,8,1,5,16,9,7,56.3,€8.3M,0
Nathan Broadhead,wls WAL,Ipswich Town,MFFW,26,18,7,702,2,0,1,0,1.7,0.7,20,14,33,0.26,0.0,0.22,0.09,N/a,N/a,N/a,N/a,61.5,1.03,0.15,15.8,178,78.1,457,89.4,80.6,25.0,7,12,6,0,22,2.82,2,0.26,9,4,12,9,8,1,7,4,317,7,41,161,126,21,34,50.0,44.1,174,584,16,5,19,15,222,4,13,2,9,32,1,10,9.1,€6.1M,0
Armando Broja,al ALB,Everton,FW,22,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.0,0.0,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.3,53,72.6,101,77.8,83.3,66.7,4,3,0,0,7,1.89,0,0.0,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,8,3,16,13,94,6,4,3,1,9,18,21,46.2,€18.6M,0
David Brooks,wls WAL,Bournemouth,FWMF,27,29,9,960,2,0,3,0,2.5,1.9,35,35,83,0.19,0.0,0.24,0.18,N/a,N/a,N/a,N/a,48.0,1.13,0.08,16.3,310,75.4,1429,85.9,77.7,51.1,20,22,18,6,46,4.31,2,0.19,14,6,16,14,18,2,16,5,545,15,59,207,289,39,34,32.4,58.8,342,1115,25,10,30,14,375,11,18,0,52,50,7,10,41.2,€13M,0
Emi Buendía,ar ARG,Aston Villa,MFFW,27,12,0,98,0,0,1,0,0.7,0.0,3,7,6,0.0,0.0,0.6,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.1,49,81.7,166,91.7,85.7,20.0,1,4,1,0,3,2.76,0,0.0,6,6,5,5,5,1,4,0,82,0,17,35,31,3,2,0.0,100.0,53,119,5,0,4,3,64,4,6,0,0,8,0,2,0.0,€15.1M,0
Santiago Bueno,uy URU,Wolves,DF,25,29,18,1687,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.00,14.0,741,88.0,4177,92.5,93.9,56.0,0,24,2,0,12,0.64,4,0.21,41,21,22,5,36,21,15,15,1025,170,522,485,21,6,4,0.0,100.0,555,1430,2,0,2,2,660,26,5,0,0,43,35,31,53.0,€0.2M,0
Facundo Buonanotte,ar ARG,Leicester City,FWMF,19,31,14,1523,5,2,8,0,3.9,3.1,39,54,74,0.3,0.12,0.23,0.18,N/a,N/a,N/a,N/a,33.3,0.71,0.14,17.6,437,76.4,1757,85.5,82.4,47.3,24,41,13,2,51,3.01,5,0.3,53,32,67,46,34,6,28,12,874,26,128,452,307,39,83,33.7,59.0,479,1347,26,9,58,39,528,37,35,3,43,79,18,36,33.3,€27.5M,0
