Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Alisson,br BRA,Liverpool,GK,31,28,28,2508,0,0,0,0,0.0,0.6,0,1,0,0.0,0.0,0.0,0.02,1.04,72.0,32.1,0.0,N/a,0.0,N/a,N/a,794,82.8,11360,98.7,98.4,47.4,1,12,0,0,7,0.25,1,0.04,1,0,1,1,0,0,0,0,1010,741,990,20,0,0,1,100.0,0.0,658,1586,0,0,1,0,618,0,2,0,0,47,7,0,100.0,€24.5M,1
Alphonse Areola,fr FRA,West Ham,GK,31,26,25,2260,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.63,64.3,20.0,N/a,N/a,0.0,N/a,N/a,688,69.6,12284,99.4,95.4,41.9,0,11,0,0,3,0.12,0,0.0,2,2,3,1,0,0,0,0,1049,833,1038,12,0,0,0,N/a,N/a,601,1348,0,0,0,0,555,0,0,0,0,29,2,0,100.0,€8.8M,1
Kepa Arrizabalaga,es ESP,Bournemouth,GK,29,31,31,2790,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.26,73.9,25.8,0.0,0.0,0.0,0.00,9.7,752,73.2,13943,98.4,98.2,48.2,1,10,0,0,4,0.13,0,0.0,1,0,2,2,2,0,2,0,1087,800,1057,29,1,1,1,100.0,0.0,621,1797,0,0,0,0,486,2,6,0,0,56,7,1,87.5,€11.4M,1
Ederson,br BRA,Manchester City,GK,30,26,26,2320,0,4,4,0,0.0,1.5,0,2,0,0.0,0.16,0.0,0.06,1.01,69.2,38.5,0.0,N/a,0.0,N/a,N/a,811,87.9,13212,100.0,98.3,65.3,4,21,1,0,6,0.23,4,0.16,0,0,2,2,0,0,0,1,975,689,962,13,0,0,0,N/a,N/a,654,1981,0,0,1,0,616,1,0,0,0,42,4,1,80.0,€0.1M,1
Mark Flekken,nl NED,Brentford,GK,31,37,37,3275,0,2,1,0,0.0,0.5,0,0,0,0.0,0.05,0.0,0.01,1.51,73.4,18.9,0.0,N/a,0.0,N/a,N/a,1254,73.0,25308,98.1,97.6,49.2,3,50,2,0,10,0.27,2,0.05,4,4,9,6,2,0,2,0,1824,1436,1777,52,0,0,1,100.0,0.0,1122,3253,0,0,3,0,1015,0,3,0,0,39,4,0,100.0,€12.1M,1
Dean Henderson,eng ENG,Crystal Palace,GK,27,38,38,3420,0,0,3,0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,1.34,66.7,28.9,50.0,0.0,0.0,0.00,14.9,745,61.3,13551,99.4,99.2,31.2,3,23,1,0,4,0.11,0,0.0,2,1,6,4,0,0,0,0,1308,1065,1303,4,1,1,0,N/a,N/a,751,2136,0,0,2,0,580,0,2,0,0,26,11,1,91.7,€28.7M,1
Mads Hermansen,dk DEN,Leicester City,GK,24,27,27,2385,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,N/a,0.0,N/a,N/a,654,61.0,12387,97.4,94.8,32.7,0,20,1,0,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,1,0,625,0,3,0,0,17,4,1,80.0,€19.2M,1
Bernd Leno,de GER,Fulham,GK,32,38,38,3420,0,1,5,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.42,67.9,13.2,25.0,N/a,0.0,N/a,N/a,1149,81.8,16978,99.6,98.8,48.2,2,16,2,0,6,0.16,2,0.05,2,2,2,0,1,0,1,0,1479,1190,1466,13,0,0,0,N/a,N/a,955,2233,0,0,0,0,862,0,4,0,0,50,9,1,90.0,€13.5M,1
Emiliano Martínez,ar ARG,Aston Villa,GK,31,37,37,3194,0,0,5,1,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.27,69.0,21.6,50.0,N/a,0.0,N/a,N/a,1091,78.7,17513,98.0,98.3,49.4,2,27,0,0,6,0.17,1,0.03,3,3,2,0,1,0,1,0,1449,1095,1429,20,0,0,1,100.0,0.0,889,2936,0,0,1,0,784,2,6,0,0,34,10,1,90.9,€23M,1
Arijanet Muric,xk KVX,Ipswich Town,GK,25,18,18,1620,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,N/a,0.0,N/a,N/a,454,71.7,8247,100.0,97.3,40.6,0,14,0,0,1,0.06,0,0.0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,3,1,321,0,4,0,0,26,11,1,91.7,€4.9M,1
