Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Tyler Adams,us USA,Bournemouth,MF,25,28,21,1965,0,3,7,0,1.6,1.0,14,76,10,0.0,0.14,0.07,0.05,N/a,N/a,N/a,N/a,22.2,0.09,0.00,16.9,902,84.4,3525,89.4,88.7,58.5,18,67,4,1,41,1.88,4,0.18,83,50,72,33,33,10,23,32,1337,62,349,779,224,18,18,22.2,55.6,663,1447,22,1,28,12,757,45,21,0,3,114,31,18,63.3,€24.5M,4
Ola Aina,ng NGA,Nott'ham Forest,DF,27,35,35,2995,2,1,5,0,0.6,1.4,67,107,67,0.06,0.03,0.02,0.04,N/a,N/a,N/a,N/a,18.2,0.06,0.18,26.1,994,73.5,6297,88.6,74.5,34.3,16,85,23,11,62,1.86,4,0.12,55,42,64,28,34,12,22,33,1708,156,613,717,409,22,72,45.8,37.5,749,2787,46,10,44,22,823,23,35,2,59,190,13,19,40.6,€19.3M,4
Manuel Akanji,ch SUI,Manchester City,DF,29,26,23,2014,0,0,3,0,1.6,0.4,46,158,7,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,13.3,0.09,0.00,14.7,1632,93.6,7578,95.6,95.2,74.3,9,177,11,2,37,1.65,3,0.13,19,12,17,6,11,8,3,9,1881,119,559,920,405,19,2,100.0,0.0,1254,4234,64,0,5,5,1483,17,9,0,11,103,30,33,47.6,€43.7M,4
Edson Álvarez,mx MEX,West Ham,MF,26,28,20,1772,0,1,9,1,0.4,0.8,24,85,18,0.0,0.05,0.02,0.04,N/a,N/a,N/a,N/a,8.3,0.05,0.00,26.3,861,85.8,4200,89.3,89.8,71.7,12,92,12,3,28,1.42,2,0.1,50,27,35,18,23,8,15,18,1239,67,361,693,194,12,33,42.4,42.4,687,1714,22,2,27,15,830,42,18,4,6,88,30,23,56.6,€36.7M,4
Joachim Andersen,dk DEN,Fulham,DF,28,29,29,2583,0,0,6,1,1.0,0.5,16,112,2,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,21.1,0.14,0.00,15.1,1654,82.7,14436,91.8,93.2,55.2,4,196,6,3,35,1.23,2,0.07,27,18,24,9,37,28,9,34,2336,340,1233,1013,102,22,6,66.7,0.0,1350,3435,14,1,6,3,1621,18,19,0,12,122,70,39,64.2,€29.7M,4
Elliot Anderson,eng ENG,Nott'ham Forest,MF,21,37,33,2728,2,6,10,0,2.1,3.3,52,143,95,0.07,0.2,0.07,0.11,N/a,N/a,N/a,N/a,17.5,0.23,0.05,18.8,1085,78.3,5922,89.4,81.0,46.7,37,121,19,2,87,2.87,10,0.33,92,56,111,63,48,9,39,31,1832,102,424,891,547,72,75,48.0,40.0,932,2366,32,21,60,49,1089,49,58,4,86,207,56,30,65.1,€61.7M,4
André,br BRA,Wolves,MF,23,33,31,2472,0,0,7,0,0.4,0.8,10,109,11,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.04,0.00,25.5,1247,92.9,5471,95.4,95.0,81.6,18,111,5,0,49,1.78,3,0.11,91,55,63,26,42,8,34,37,1623,89,439,1046,155,3,32,50.0,37.5,912,1688,17,0,30,21,1093,36,34,0,0,194,2,6,25.0,€38.5M,4
Joe Aribo,ng NGA,Southampton,MFDF,28,32,21,2013,3,0,1,0,2.7,1.6,36,75,65,0.13,0.0,0.12,0.07,N/a,N/a,N/a,N/a,41.2,0.31,0.18,14.0,929,88.8,2630,91.3,91.3,68.9,16,51,4,1,37,1.66,1,0.04,47,33,35,18,28,11,17,20,1271,52,313,670,299,44,49,42.9,44.9,745,2021,29,12,27,19,925,20,28,1,10,112,25,24,51.0,€8M,4
Yasin Ayari,se SWE,Brighton,MF,20,34,22,1965,2,1,3,0,2.4,2.3,30,75,61,0.09,0.05,0.11,0.11,N/a,N/a,N/a,N/a,28.6,0.37,0.07,18.7,793,81.5,3328,91.4,84.3,40.8,30,55,18,4,61,2.79,6,0.27,59,32,56,30,24,6,18,20,1233,58,275,624,354,45,45,40.0,40.0,655,1466,25,6,38,22,801,37,26,3,69,118,16,20,44.4,€38.2M,4
Carlos Baleba,cm CMR,Brighton,MF,20,34,31,2661,3,1,8,1,3.1,1.3,43,118,29,0.1,0.03,0.1,0.05,N/a,N/a,N/a,N/a,25.0,0.37,0.07,25.5,1149,87.4,4741,92.0,92.2,63.5,21,109,23,3,66,2.23,4,0.14,79,46,80,32,47,11,36,46,1697,94,410,994,339,12,57,57.9,35.1,971,2810,45,3,39,42,1035,40,48,0,9,197,39,26,60.0,€66.9M,4
