Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Calvin Bassey,ng NGA,Fulham,DF,24,35,34,3074,1,0,7,0,1.0,0.1,39,116,15,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.12,0.07,15.3,1934,89.7,11961,95.2,93.8,61.4,3,152,3,0,23,0.67,3,0.09,54,34,31,9,40,17,23,20,2463,324,1205,1151,132,19,33,45.5,33.3,1571,4940,20,5,34,8,1716,26,32,2,8,168,43,33,56.6,€29.9M,4
Jan Bednarek,pl POL,Southampton,DF,28,30,30,2531,2,0,7,0,0.7,0.5,5,60,2,0.07,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.07,0.40,16.0,1564,92.7,8925,95.2,94.8,76.6,5,72,1,0,16,0.57,0,0.0,36,19,31,15,47,36,11,56,2049,386,1091,924,41,15,3,100.0,0.0,1046,1742,5,1,9,3,1307,31,13,0,1,106,71,37,65.7,€13M,4
Jean-Ricner Bellegarde,ht HAI,Wolves,MFFW,26,35,20,1677,2,7,3,0,1.5,3.8,52,43,89,0.11,0.38,0.08,0.2,N/a,N/a,N/a,N/a,22.7,0.27,0.09,21.2,475,79.3,1436,89.1,80.9,58.1,27,30,18,8,57,3.06,11,0.59,39,24,20,6,19,3,16,10,843,24,148,394,318,48,61,23.0,50.8,528,1573,38,11,42,29,592,31,47,1,44,62,10,19,34.5,€21.3M,4
Rodrigo Bentancur,uy URU,Tottenham,MF,27,26,21,1645,2,0,9,0,1.3,0.4,28,100,34,0.11,0.0,0.07,0.02,N/a,N/a,N/a,N/a,22.7,0.27,0.09,17.4,946,87.9,3700,90.7,92.6,74.6,10,109,13,2,45,2.46,3,0.16,40,22,40,21,25,8,17,40,1302,76,323,774,216,24,19,47.4,42.1,764,1502,24,5,19,20,848,34,10,1,4,121,36,30,54.5,€31.4M,4
Sander Berge,no NOR,Fulham,MF,26,31,26,2224,0,0,6,0,0.4,0.6,29,124,9,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,33.3,0.04,0.00,8.7,1091,91.5,4626,92.1,94.4,83.5,18,116,5,0,48,1.94,2,0.08,50,30,39,12,27,8,19,21,1384,81,374,799,217,14,20,55.0,30.0,804,2065,25,2,15,16,892,31,10,0,3,126,28,22,56.0,€30.4M,4
Victor Bernth Kristiansen,dk DEN,Leicester City,DF,21,30,29,2482,0,1,1,0,0.3,1.4,40,70,78,0.0,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.7,1023,77.4,5859,89.3,79.8,41.4,18,76,23,18,42,1.52,3,0.11,87,51,91,42,38,15,23,42,1614,115,577,722,329,17,18,44.4,50.0,816,1866,26,5,15,13,887,19,18,3,97,99,22,42,34.4,€18.7M,4
Jarrad Branthwaite,eng ENG,Everton,DF,22,30,28,2511,0,1,4,0,1.2,0.7,10,66,2,0.0,0.04,0.04,0.02,N/a,N/a,N/a,N/a,30.0,0.11,0.00,8.2,984,82.1,7699,90.0,90.5,55.5,3,86,3,0,13,0.47,2,0.07,36,20,28,8,31,23,8,27,1520,211,783,676,69,28,6,50.0,33.3,747,2515,14,2,8,4,894,12,18,1,5,93,61,42,59.2,€28.1M,4
Facundo Buonanotte,ar ARG,Leicester City,FWMF,19,31,14,1523,5,2,8,0,3.9,3.1,39,54,74,0.3,0.12,0.23,0.18,N/a,N/a,N/a,N/a,33.3,0.71,0.14,17.6,437,76.4,1757,85.5,82.4,47.3,24,41,13,2,51,3.01,5,0.3,53,32,67,46,34,6,28,12,874,26,128,452,307,39,83,33.7,59.0,479,1347,26,9,58,39,528,37,35,3,43,79,18,36,33.3,€27.5M,4
Dan Burn,eng ENG,Newcastle Utd,DF,32,37,37,3330,1,1,11,0,2.0,0.9,12,75,14,0.03,0.03,0.05,0.02,N/a,N/a,N/a,N/a,30.4,0.19,0.04,9.7,1774,88.4,11375,89.7,94.6,60.8,9,50,9,0,27,0.73,4,0.11,39,24,36,16,36,26,10,27,2386,366,1305,959,130,52,4,75.0,25.0,1346,2798,8,1,24,3,1615,34,12,5,3,103,146,75,66.1,€8.4M,4
Moisés Caicedo,ec ECU,Chelsea,MFDF,22,38,38,3351,1,2,11,0,0.8,3.0,43,215,37,0.03,0.05,0.02,0.08,N/a,N/a,N/a,N/a,15.0,0.08,0.05,25.3,1967,89.7,8949,92.6,92.3,76.4,30,235,34,2,98,2.63,9,0.24,114,73,86,32,49,10,39,49,2579,95,562,1570,476,15,64,45.3,34.4,1409,3384,38,2,37,25,1780,70,58,0,10,229,35,16,68.6,€82.8M,4
Jens Cajuste,se SWE,Ipswich Town,MF,24,30,25,1959,1,1,2,0,0.7,0.8,26,59,20,0.05,0.05,0.03,0.04,N/a,N/a,N/a,N/a,8.3,0.05,0.08,19.7,647,82.6,2229,89.1,85.2,50.8,13,51,6,1,36,1.65,2,0.09,44,22,49,28,25,10,15,28,1017,61,286,530,217,15,53,52.8,35.8,481,1329,23,3,23,17,594,24,22,0,10,107,13,22,37.1,€15.4M,4
Casemiro,br BRA,Manchester Utd,MF,32,24,18,1494,1,0,5,0,1.9,2.3,4,84,28,0.06,0.0,0.11,0.14,N/a,N/a,N/a,N/a,31.3,0.6,0.03,19.5,780,78.8,4069,86.8,83.7,61.1,22,81,23,6,53,3.19,4,0.24,83,50,74,29,39,10,29,14,1250,75,374,633,251,43,6,50.0,50.0,660,934,10,0,12,10,800,20,19,4,20,103,36,19,65.5,€7.2M,4
Matty Cash,pl POL,Aston Villa,DF,26,27,24,2070,1,1,7,0,0.5,1.1,48,42,90,0.04,0.04,0.02,0.05,N/a,N/a,N/a,N/a,46.2,0.26,0.08,18.8,732,77.5,3259,89.2,78.7,49.1,10,39,10,5,25,1.09,4,0.17,56,32,43,12,22,8,14,23,1186,90,432,463,304,42,40,47.5,40.0,595,1864,38,4,20,10,654,27,20,1,40,81,20,20,50.0,€22.8M,4
Timothy Castagne,be BEL,Fulham,DF,28,24,17,1649,0,1,1,0,0.4,1.2,17,62,67,0.0,0.05,0.02,0.07,N/a,N/a,N/a,N/a,37.5,0.16,0.00,14.0,780,81.8,3910,89.8,85.9,49.3,9,51,5,3,25,1.36,3,0.16,46,29,45,19,15,6,9,22,1164,92,449,462,259,32,12,41.7,41.7,547,1044,15,2,15,5,665,15,6,1,37,57,34,35,49.3,€14.1M,4
Ryan Christie,sct SCO,Bournemouth,MF,29,29,27,2117,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,N/a,N/a,N/a,N/a,36.4,0.51,0.06,19.6,837,79.3,4269,88.2,87.9,48.8,41,118,33,5,85,3.62,9,0.38,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,40,8,44,25,777,43,31,1,48,182,20,28,41.7,€16.2M,4
Nathan Collins,ie IRL,Brentford,DF,23,38,38,3420,2,3,5,0,2.5,1.8,32,127,18,0.05,0.08,0.07,0.05,N/a,N/a,N/a,N/a,35.3,0.16,0.12,10.7,1705,85.9,10799,87.7,92.6,60.7,10,111,7,2,30,0.79,8,0.21,40,24,36,14,77,57,20,34,2435,385,1275,1002,169,69,12,50.0,41.7,1289,4130,12,1,20,8,1490,29,31,6,8,162,117,69,62.9,€30.7M,4
Levi Colwill,eng ENG,Chelsea,DF,21,35,35,3149,2,1,9,0,1.9,1.1,14,131,12,0.06,0.03,0.05,0.03,N/a,N/a,N/a,N/a,23.5,0.11,0.12,9.5,2338,89.3,14955,92.4,95.2,56.1,14,148,7,3,38,1.09,3,0.09,47,34,27,9,37,25,12,33,2904,383,1363,1417,140,36,12,50.0,41.7,1621,4028,12,1,14,8,2092,45,21,5,13,121,82,53,60.7,€55.9M,4
Lewis Cook,eng ENG,Bournemouth,MFDF,27,36,32,2978,1,3,8,1,0.9,4.1,33,158,52,0.03,0.09,0.03,0.12,N/a,N/a,N/a,N/a,28.6,0.12,0.07,23.4,1224,77.2,7153,85.4,85.2,45.4,48,157,26,11,89,2.69,5,0.15,81,42,67,30,30,11,19,41,1900,87,440,1010,470,20,20,65.0,35.0,825,2159,29,4,31,18,965,49,10,3,132,187,41,34,54.7,€17.6M,4
Marc Cucurella,es ESP,Chelsea,DF,26,36,33,2988,5,1,10,1,2.8,2.1,35,118,117,0.15,0.03,0.08,0.06,N/a,N/a,N/a,N/a,45.8,0.33,0.21,16.1,1680,87.7,7598,94.0,89.4,56.1,19,121,12,3,51,1.54,5,0.15,67,45,61,29,49,16,33,28,2244,119,677,1045,532,75,15,26.7,60.0,944,2336,22,2,28,7,1385,37,38,3,31,130,32,57,36.0,€39.6M,4
Diogo Dalot,pt POR,Manchester Utd,DF,25,33,31,2814,0,3,5,0,2.0,2.0,62,103,168,0.0,0.1,0.07,0.07,N/a,N/a,N/a,N/a,20.0,0.16,0.00,16.1,1347,80.5,6617,89.8,81.9,55.9,26,61,25,8,74,2.37,5,0.16,68,40,52,18,22,9,13,37,1983,113,661,773,566,68,53,50.9,41.5,1126,2699,37,16,38,21,1200,40,9,4,66,167,38,21,64.4,€37.7M,4
Ben Davies,wls WAL,Tottenham,DF,31,17,14,1331,0,0,5,0,0.3,0.2,14,52,6,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,20.0,0.07,0.00,17.0,896,87.6,6614,90.1,94.5,62.1,2,47,2,0,8,0.54,0,0.0,17,11,17,8,28,19,9,12,1186,215,643,495,48,13,1,100.0,0.0,664,1824,10,0,5,0,781,17,7,0,4,41,52,44,54.2,€5.1M,4
Leif Davis,eng ENG,Ipswich Town,DF,24,33,32,2743,1,2,5,1,1.0,4.9,52,59,137,0.03,0.07,0.03,0.16,N/a,N/a,N/a,N/a,12.5,0.07,0.06,19.8,919,71.6,6353,86.2,77.8,37.1,61,33,28,12,93,3.05,4,0.13,46,27,48,18,25,8,17,25,1562,117,534,520,527,42,38,34.2,47.4,708,2073,31,11,37,16,835,27,31,5,161,113,34,23,59.6,€22.9M,4
Sepp van den Berg,nl NED,Brentford,DF,22,31,29,2586,0,0,3,0,2.0,0.8,12,79,28,0.0,0.0,0.07,0.03,N/a,N/a,N/a,N/a,30.0,0.21,0.00,10.5,1092,85.4,6135,87.8,89.7,66.4,6,64,3,1,22,0.77,2,0.07,39,24,29,10,52,38,14,21,1605,282,819,621,169,48,7,57.1,42.9,737,1974,10,1,15,7,917,23,5,1,7,97,94,77,55.0,€26.4M,4
Rúben Dias,pt POR,Manchester City,DF,27,27,25,2271,0,0,4,0,1.5,0.3,43,160,8,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,33.3,0.28,0.00,19.4,2167,93.5,12143,96.9,96.5,67.8,5,222,12,0,26,1.03,1,0.04,17,11,13,6,23,20,3,20,2499,216,837,1361,307,26,3,66.7,33.3,1775,6017,65,1,8,1,2016,12,8,0,3,78,37,34,52.1,€55.4M,4
Tyler Dibling,eng ENG,Southampton,FWMF,18,33,20,1874,2,0,6,0,2.5,1.5,69,64,96,0.1,0.0,0.12,0.07,N/a,N/a,N/a,N/a,32.1,0.43,0.07,19.3,504,81.3,1553,90.5,85.4,45.8,20,27,20,1,56,2.69,4,0.19,34,20,26,10,19,5,14,8,868,27,129,390,369,41,110,40.9,39.1,558,2215,50,26,44,55,651,30,50,2,28,80,10,25,28.6,€32M,4
Lucas Digne,fr FRA,Aston Villa,DF,31,32,28,2351,0,4,4,0,0.8,4.7,23,57,142,0.0,0.15,0.03,0.18,N/a,N/a,N/a,N/a,23.1,0.11,0.00,22.7,956,74.9,5137,88.0,78.4,40.0,36,44,30,19,66,2.53,5,0.19,65,38,66,22,23,4,19,25,1527,97,541,457,539,28,19,47.4,47.4,683,1346,14,4,17,16,820,21,16,7,140,104,37,28,56.9,€13.2M,4
Matt Doherty,ie IRL,Wolves,DF,32,30,25,2109,2,1,6,0,1.0,1.5,29,79,41,0.09,0.04,0.04,0.07,N/a,N/a,N/a,N/a,30.0,0.13,0.20,11.4,1078,82.8,6585,90.1,87.0,61.8,12,94,15,1,25,1.07,3,0.13,38,21,25,8,28,15,13,22,1534,126,614,748,190,26,21,52.4,33.3,825,2176,20,4,11,5,982,18,11,2,22,106,56,21,72.7,€2.3M,4
Nicolás Domínguez,ar ARG,Nott'ham Forest,MFFW,26,34,23,1963,0,1,9,0,1.5,1.3,16,83,33,0.0,0.05,0.07,0.06,N/a,N/a,N/a,N/a,42.9,0.41,0.00,18.9,821,86.7,3387,91.1,89.4,61.8,13,81,11,1,38,1.74,0,0.0,86,45,76,40,38,12,26,29,1218,78,303,630,295,33,9,33.3,44.4,471,924,14,2,23,12,676,33,18,1,7,114,27,23,54.0,€18.8M,4
Abdoulaye Doucouré,ml MLI,Everton,MF,31,33,31,2564,3,2,5,1,4.1,2.4,42,82,96,0.11,0.07,0.15,0.09,N/a,N/a,N/a,N/a,29.0,0.32,0.10,14.0,725,80.3,2254,85.7,83.2,73.3,28,44,15,0,58,2.04,3,0.11,48,28,43,29,31,6,25,10,1161,32,225,538,413,65,45,53.3,46.7,604,1396,26,8,38,38,750,49,5,10,23,150,30,44,40.5,€5.8M,4
Flynn Downes,eng ENG,Southampton,MF,25,27,25,2151,1,0,12,0,0.6,1.1,29,66,29,0.04,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.13,0.10,18.7,1003,90.4,2893,93.1,92.1,69.8,15,62,12,0,31,1.3,2,0.08,49,25,36,21,28,9,19,32,1339,99,403,719,227,21,20,40.0,40.0,641,1826,21,4,15,17,945,50,39,0,4,83,17,17,50.0,€8.5M,4
Lewis Dunk,eng ENG,Brighton,DF,32,25,23,2083,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.13,0.00,12.1,1778,91.0,10612,96.4,95.2,62.7,6,157,6,0,19,0.82,3,0.13,17,10,19,8,28,18,10,13,2127,258,993,1031,113,21,1,0.0,100.0,1341,3345,19,0,9,3,1556,7,11,2,5,104,51,31,62.2,€3.6M,4
Pervis Estupiñán,ec ECU,Brighton,DF,26,30,26,2402,1,1,5,0,1.2,2.1,59,132,112,0.04,0.04,0.04,0.08,N/a,N/a,N/a,N/a,32.1,0.34,0.04,24.5,1338,83.1,6261,93.2,83.5,46.8,26,105,34,18,58,2.17,4,0.15,65,43,51,17,20,5,15,37,1915,89,493,936,506,35,34,55.9,38.2,1023,2689,61,9,34,27,1144,36,20,3,119,147,46,26,63.9,€22.7M,4
Wout Faes,be BEL,Leicester City,DF,26,34,30,2815,1,0,4,0,1.5,0.1,12,86,1,0.03,0.0,0.05,0.0,N/a,N/a,N/a,N/a,8.3,0.03,0.08,9.7,1376,88.0,9014,94.4,94.9,53.9,4,83,6,0,17,0.54,0,0.0,42,26,48,23,48,35,13,26,1906,318,962,885,68,27,6,83.3,16.7,1107,2928,13,2,17,6,1268,23,11,1,5,90,45,36,55.6,€13.3M,4
Mateus Fernandes,pt POR,Southampton,MF,20,36,34,2909,2,4,8,0,4.0,3.0,76,145,108,0.06,0.12,0.12,0.09,N/a,N/a,N/a,N/a,33.3,0.43,0.05,18.7,1087,79.9,4369,87.9,85.9,56.1,34,98,27,6,78,2.41,7,0.22,89,48,72,39,43,8,35,28,1760,72,385,867,547,49,109,45.0,45.0,897,3143,70,9,58,36,1077,46,55,4,113,179,15,9,62.5,€22.5M,4
Idrissa Gana Gueye,sn SEN,Everton,MF,34,37,35,3063,0,3,9,0,1.1,1.7,27,145,27,0.0,0.09,0.03,0.05,N/a,N/a,N/a,N/a,18.5,0.15,0.00,25.2,1230,86.5,5681,91.0,90.4,72.2,19,154,10,3,60,1.76,4,0.12,133,80,99,41,48,9,39,48,1801,72,432,1045,336,21,39,46.2,48.7,861,1752,27,4,32,38,1048,55,46,0,7,194,24,15,61.5,€2.6M,4
João Gomes,br BRA,Wolves,MF,23,36,35,2974,3,1,11,1,2.9,1.2,59,165,76,0.09,0.03,0.09,0.04,N/a,N/a,N/a,N/a,20.0,0.21,0.09,18.3,1380,85.0,4911,90.7,86.3,58.9,23,122,24,1,67,2.03,4,0.12,116,71,110,62,42,4,38,25,1998,62,431,1105,491,45,65,46.2,43.1,1059,2843,51,6,43,51,1335,70,47,1,29,200,11,26,29.7,€51.1M,4
Toti Gomes,pt POR,Wolves,DF,25,31,30,2614,0,1,7,0,0.7,0.9,27,86,18,0.0,0.03,0.03,0.03,N/a,N/a,N/a,N/a,28.6,0.07,0.00,11.6,1473,85.9,8584,92.2,92.0,52.0,9,87,6,3,21,0.72,1,0.03,61,43,46,9,29,17,12,25,2027,217,942,1000,108,17,32,62.5,31.3,1205,3203,20,0,20,15,1387,24,15,4,13,116,53,26,67.1,€16M,4
Ryan Gravenberch,nl NED,Liverpool,MF,22,37,37,3160,0,4,6,1,1.1,3.1,70,181,55,0.0,0.11,0.03,0.09,N/a,N/a,N/a,N/a,25.0,0.14,0.00,24.5,1718,89.2,6528,92.5,92.3,61.5,26,151,35,2,68,1.94,6,0.17,69,35,56,24,35,10,25,60,2343,117,509,1354,512,26,81,45.7,37.0,1396,3742,75,10,55,26,1669,47,52,0,7,193,26,14,65.0,€85.5M,4
Jacob Greaves,eng ENG,Ipswich Town,DF,23,25,25,2205,1,0,5,0,1.3,0.3,11,69,11,0.04,0.0,0.05,0.01,N/a,N/a,N/a,N/a,40.0,0.16,0.10,9.7,962,85.8,6129,92.3,89.2,44.3,5,75,2,0,20,0.82,1,0.04,40,21,35,13,41,26,15,21,1404,276,746,568,95,22,6,66.7,16.7,619,1268,11,0,10,2,851,16,21,1,1,61,83,40,67.5,€19.7M,4
Marc Guéhi,eng ENG,Crystal Palace,DF,24,34,34,3059,3,2,9,1,2.0,1.8,22,134,10,0.09,0.06,0.06,0.05,N/a,N/a,N/a,N/a,46.7,0.21,0.20,10.7,1473,83.5,11512,90.7,89.0,55.5,16,133,11,3,44,1.29,5,0.15,61,34,47,16,55,23,32,28,2131,311,1051,943,148,39,15,80.0,13.3,1142,2935,17,1,16,18,1330,24,27,1,13,146,68,58,54.0,€45.2M,4
İlkay Gündoğan,de GER,Manchester City,MF,33,33,25,2223,1,6,1,0,3.2,3.5,64,127,96,0.04,0.24,0.13,0.14,N/a,N/a,N/a,N/a,25.9,0.28,0.04,18.1,1525,89.5,4511,94.4,92.0,65.8,44,108,23,2,88,3.56,13,0.53,25,13,24,14,15,0,15,13,1892,45,270,929,714,67,41,41.5,39.0,1118,3000,57,11,29,25,1480,15,27,1,60,116,14,11,56.0,€2.7M,4
Malo Gusto,fr FRA,Chelsea,DF,21,32,19,1862,0,1,4,0,1.7,1.4,50,119,85,0.0,0.05,0.08,0.07,N/a,N/a,N/a,N/a,18.2,0.19,0.00,21.3,1198,86.5,4892,93.2,88.4,60.7,22,111,19,7,58,2.8,4,0.19,45,29,48,23,29,8,21,24,1595,64,387,772,451,43,16,25.0,68.8,882,2248,36,8,18,17,1072,20,20,2,53,119,9,15,37.5,€32.1M,4
Joško Gvardiol,hr CRO,Manchester City,DF,22,37,36,3277,5,0,2,0,4.6,2.1,91,264,121,0.14,0.0,0.13,0.06,N/a,N/a,N/a,N/a,30.0,0.33,0.13,12.9,2454,90.2,10760,94.0,92.7,66.0,26,247,20,1,76,2.09,7,0.19,58,39,40,19,42,20,22,44,3103,146,764,1549,815,98,43,58.1,32.6,1997,6002,102,15,29,16,2257,16,27,3,22,137,54,41,56.8,€77.4M,4
Lewis Hall,eng ENG,Newcastle Utd,DF,19,27,24,2189,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.00,18.8,1300,81.7,8891,91.3,85.1,51.5,34,114,17,5,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,22,13,33,20,1094,9,21,1,110,119,30,31,49.2,€36.8M,4
Taylor Harwood-Bellis,eng ENG,Southampton,DF,22,34,32,2825,1,0,9,0,1.8,1.0,29,125,9,0.03,0.0,0.06,0.03,N/a,N/a,N/a,N/a,40.0,0.25,0.05,10.6,1892,87.4,12592,92.4,91.6,64.0,14,178,10,1,37,1.18,2,0.06,28,20,35,16,65,43,22,30,2475,340,1158,1145,182,42,3,100.0,0.0,1433,3938,27,0,16,5,1792,35,14,0,10,123,63,49,56.3,€24.6M,4
Jan Paul van Hecke,nl NED,Brighton,DF,24,34,33,2958,1,1,8,1,1.3,1.5,55,228,5,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,29.4,0.15,0.06,13.9,2016,88.2,15217,93.5,93.2,65.6,15,226,17,4,52,1.58,3,0.09,45,29,41,18,37,22,15,24,2589,272,1094,1350,166,33,11,45.5,36.4,1715,7191,46,0,12,7,1820,25,24,0,11,131,82,50,62.1,€41.9M,4
